product_id,product_name,price,cost,category_id
1,Bánh đa,15000,5000,1
2,Nem chua Thanh Hóa,50000,25000,1
3,Lạc rang húng lìu,30000,10000,1
4,Châu chấu rang,80000,26000,1
5,Ngô chiên,35000,11000,1
6,Khoai tây chiên,40000,13000,1
7,Đậu phụ,40000,15000,1
8,Đậu phụ chiên,50000,20000,1
9,Đậu phụ tẩm hành,60000,25000,1
10,Tóp mỡ dưa chua,120000,35000,1
11,Trứng rán lá mơ/ngải cứu,35000,11000,1
12,Mướp đắng ruốc,45000,14500,1
13,Bò một nắng,120000,38000,1
14,Hến xúc bánh đa,60000,19000,1
15,Mực nướng,120000,38000,1
16,Nem bùi,40000,13000,1
17,Pa tê xúc bánh đa,45000,14500,1
18,Gỏi bò bóp thấu,90000,29000,2
19,Gỏi bò hoa chuối,85000,27000,2
20,Gỏi hải sản,120000,38000,2
21,Gỏi nem xứ Thanh,80000,25500,2
22,Gỏi xoài khô mực,90000,29000,2
23,Gỏi tai heo,85000,27000,2
24,Gỏi gà,90000,29000,2
25,Gỏi xoài khô sặc,85000,27000,2
26,Cơm chiên dưa bò,70000,22500,3
27,Cơm chiên hải sản,75000,24000,3
28,Cơm chiên cá mặn,70000,22500,3
29,Cơm chiên tỏi trứng,60000,19000,3
30,Cơm rang đùi gà,80000,25500,3
31,Mì xào hải sản,80000,25500,4
32,Mì xào bò,75000,24000,4
33,Mì xào trứng,60000,19000,4
34,Bia hơi (bia tươi),12000,4000,5
35,Bia tháp,180000,60000,5
36,Bia Tiger,25000,8000,5
37,Bia Heiniken,30000,9600,5
38,Bia Hà Nội,20000,6500,5
39,Bia Sài Gòn,22000,7000,5
40,Bia 333,22000,7000,5
41,Coca,15000,4800,5
42,Sting,15000,4800,5
43,7Up,15000,4800,5
44,Chanh muối,20000,6500,5
45,Nước suối,10000,3200,5
46,Khăn lạnh,5000,1500,5
47,Tôm cháy tỏi,140000,45000,6
48,Tôm hấp,130000,42000,6
49,Tôm xào bơ cay,140000,45000,6
50,Tôm nướng,150000,48000,6
51,Tôm sốt trứng muối,160000,51000,6
52,Mực trứng chiên mắm,150000,48000,6
53,Mực trứng hấp hành gừng,150000,48000,6
54,Mực chiên bơ,140000,45000,6
55,Mực xào sa tế,130000,42000,6
56,Cá chép om dưa,140000,45000,7
57,Cá chạch chiên lá lốt,160000,51000,7
58,Cá kèo nướng,150000,48000,7
59,Cá sòng nướng giấy bạc,140000,45000,7
60,Lòng xào dưa chua,90000,29000,8
61,Lòng xào nghệ,90000,29000,8
62,Lòng xào sa tế,95000,30500,8
63,Lòng chiên nước mắm,100000,32000,8
64,Lòng nướng,110000,35000,8
